Candidate	Score
Solution 111	0.9956518455 [0.994872331266-0.996431359643]
Solution 112	0.9956469483 [0.994867395110-0.996426501434]
Solution 113	0.9956386365 [0.994858734015-0.996418538973]
Solution 114	0.9951620619 [0.994375270789-0.995948853049]
Solution 115	0.9952784406 [0.994494986034-0.996061895204]
Solution 116	0.9946260018 [0.993833061747-0.995418941910]
Solution 117	0.9937515277 [0.992947296167-0.994555759268]
Solution 118	0.9938300860 [0.993027547885-0.994632624131]
Solution 119	0.9907801330 [0.989917611264-0.991642654753]
Solution 120	0.9952790633 [0.994495635531-0.996062491031]
Solution 121	0.9938342212 [0.993031775873-0.994636666494]
Solution 122	0.9953434071 [0.994561079071-0.996125735054]
Solution 123	0.9950321077 [0.994244907386-0.995819307997]
Solution 124	0.9946899765 [0.993896157437-0.995483795628]
Solution 125	0.9951946675 [0.994407622918-0.995981712160]
Solution 126	0.9945278209 [0.993729345701-0.995326296125]
Solution 127	0.9941405832 [0.993332925645-0.994948240756]
Solution 128	0.9956675551 [0.994888269061-0.996446841148]
Solution 129	0.9953768525 [0.994595068983-0.996158636061]
Solution 130	0.9939963642 [0.993196418774-0.994796309725]
Solution 131	0.9954853463 [0.994680534527-0.996290158011]
Solution 132	0.9944985094 [0.993681695582-0.995315323165]
Solution 133	0.9952716855 [0.994462236691-0.996081134300]
Solution 134	0.9942434391 [0.993422745097-0.995064133100]
Solution 135	0.9912573265 [0.990387057731-0.992127595227]
Solution 136	0.9954853463 [0.994680534527-0.996290158011]
Solution 137	0.9944985094 [0.993681695582-0.995315323165]
Solution 138	0.9952716855 [0.994462236691-0.996081134300]
Solution 139	0.9942434391 [0.993422745097-0.995064133100]
Solution 140	0.9912573265 [0.990387057731-0.992127595227]
Solution 141	0.9954853463 [0.994680534527-0.996290158011]
Solution 142	0.9944985094 [0.993681695582-0.995315323165]
Solution 143	0.9952716855 [0.994462236691-0.996081134300]
Solution 144	0.9942434391 [0.993422745097-0.995064133100]
Solution 145	0.9912573265 [0.990387057731-0.992127595227]
Solution 146	0.9942241153 [0.993249444139-0.995198786362]
Solution 147	0.9931561114 [0.992171908347-0.994140314482]
Solution 148	0.9931698075 [0.992185714580-0.994153900334]
Solution 149	0.9921431353 [0.991137365021-0.993148905557]
Solution 150	0.9940122158 [0.993033850489-0.994990581022]
Solution 151	0.9930338965 [0.992047294743-0.994020498292]
Solution 152	0.9929898520 [0.992003182557-0.993976521450]
Solution 153	0.9919828928 [0.990975042220-0.992990743474]
Solution 154	0.9900040570 [0.988977965678-0.991030148305]
Solution 155	0.9900469604 [0.989021873665-0.991072047090]
Solution 156	0.9954776245 [0.994672958375-0.996282290651]
Solution 157	0.9953959994 [0.994589919462-0.996202079265]
Solution 158	0.9943285253 [0.993509586999-0.995147463584]
Solution 159	0.9953966220 [0.994590568016-0.996202676034]
Solution 160	0.9943326605 [0.993513813588-0.995151507346]
Solution 161	0.9954776245 [0.994672958375-0.996282290651]
Solution 162	0.9954776245 [0.994672958375-0.996282290651]
Solution 163	0.9953959994 [0.994589919462-0.996202079265]
Solution 164	0.9943285253 [0.993509586999-0.995147463584]
Solution 165	0.9953966220 [0.994590568016-0.996202676034]
Solution 166	0.9943326605 [0.993513813588-0.995151507346]
Solution 167	0.9953959994 [0.994589919462-0.996202079265]
Solution 168	0.9943285253 [0.993509586999-0.995147463584]
Solution 169	0.9953966220 [0.994590568016-0.996202676034]
Solution 170	0.9943326605 [0.993513813588-0.995151507346]
Solution 171	0.9941874510 [0.993212755321-0.995162146744]
Solution 172	0.9931801291 [0.992196066811-0.994164191340]
Solution 173	0.9941347683 [0.993159098200-0.995110438490]
Solution 174	0.9931198552 [0.992135113717-0.994104596663]
Solution 175	0.9930769480 [0.992091695092-0.994062200983]
Solution 176	0.9920653641 [0.991058954091-0.993071774135]
Solution 177	0.9941353910 [0.993159741850-0.995111040163]
Solution 178	0.9931201615 [0.992135428800-0.994104894199]
Solution 179	0.9930810832 [0.992095904047-0.994066262378]
Solution 180	0.9920656704 [0.991059267701-0.993072073144]
Solution 181	0.9954362878 [0.994631078145-0.996241497501]
Solution 182	0.9954362878 [0.994631078145-0.996241497501]
Solution 183	0.9941457967 [0.993170669064-0.995120924406]
Solution 184	0.9931876625 [0.992203790403-0.994171534650]
Solution 185	0.9955850487 [0.994804456771-0.996365640605]
Solution 186	0.9953377391 [0.994554873291-0.996120604880]
Solution 187	0.9953357343 [0.994553197082-0.996118271450]
Solution 188	0.9955850487 [0.994804456771-0.996365640605]
Solution 189	0.9955850487 [0.994804456771-0.996365640605]
Solution 190	0.9953377391 [0.994554873291-0.996120604880]
Solution 191	0.9953357343 [0.994553197082-0.996118271450]
Solution 192	0.9953377391 [0.994554873291-0.996120604880]
Solution 193	0.9953357343 [0.994553197082-0.996118271450]
Solution 194	0.9942846390 [0.993328170586-0.995241107321]
Solution 195	0.9940335005 [0.993075455636-0.994991545333]
Solution 196	0.9939925078 [0.993033784000-0.994951231531]
Solution 197	0.9954478020 [0.994662327152-0.996233276928]
Solution 198	0.9952375935 [0.994451181300-0.996024005745]
Solution 199	0.9951784696 [0.994393075733-0.995963863371]
Solution 200	0.9954478020 [0.994662327152-0.996233276928]
Solution 201	0.9954478020 [0.994662327152-0.996233276928]
Solution 202	0.9952375935 [0.994451181300-0.996024005745]
Solution 203	0.9951784696 [0.994393075733-0.995963863371]
Solution 204	0.9952375935 [0.994451181300-0.996024005745]
Solution 205	0.9951784696 [0.994393075733-0.995963863371]
Solution 206	0.9956520325 [0.994872388851-0.996431676158]
Solution 207	0.9923841580 [0.991408666435-0.993359649603]
Solution 208	0.9933510823 [0.992385933161-0.994316231438]
Solution 209	0.9941007693 [0.993143641940-0.995057896599]
Solution 210	0.9953868377 [0.994605363158-0.996168312247]
Solution 211	0.9950309314 [0.994244010001-0.995817852826]
Solution 212	0.9948170409 [0.994027226842-0.995606854973]
Solution 213	0.9950309314 [0.994244010001-0.995817852826]
Solution 214	0.9948170409 [0.994027226842-0.995606854973]
Solution 215	0.9950309314 [0.994244010001-0.995817852826]
Solution 216	0.9948170409 [0.994027226842-0.995606854973]
Solution 217	0.9936442291 [0.992838490204-0.994449967954]
Solution 218	0.9937392728 [0.992777959534-0.994700586137]
Solution 219	0.9935569698 [0.992593820760-0.994520118935]
Solution 220	0.9944808213 [0.993681448815-0.995280193719]
Solution 221	0.9942725209 [0.993470430536-0.995074611277]
Solution 222	0.9937255153 [0.992907529759-0.994543500800]
Solution 223	0.9930681216 [0.992250267358-0.993885975761]
Solution 224	0.9925267061 [0.991693805026-0.993359607130]
Solution 225	0.9922617247 [0.991423639471-0.993099809906]
Solution 226	0.9944808213 [0.993681448815-0.995280193719]
Solution 227	0.9942725209 [0.993470430536-0.995074611277]
Solution 228	0.9937255153 [0.992907529759-0.994543500800]
Solution 229	0.9930681216 [0.992250267358-0.993885975761]
Solution 230	0.9925267061 [0.991693805026-0.993359607130]
Solution 231	0.9922617247 [0.991423639471-0.993099809906]
Solution 232	0.9944808213 [0.993681448815-0.995280193719]
Solution 233	0.9942725209 [0.993470430536-0.995074611277]
Solution 234	0.9937255153 [0.992907529759-0.994543500800]
Solution 235	0.9930681216 [0.992250267358-0.993885975761]
Solution 236	0.9922617247 [0.991423639471-0.993099809906]
Solution 237	0.9925267061 [0.991693805026-0.993359607130]
Solution 238	0.9953863318 [0.994604976961-0.996167686620]
Solution 239	0.9953863318 [0.994604976961-0.996167686620]
Solution 240	0.9954665221 [0.994661334566-0.996271709547]
Solution 241	0.9944808652 [0.993663517676-0.995298212734]
Solution 242	0.9952529893 [0.994443170618-0.996062808043]
Solution 243	0.9936765158 [0.992845621721-0.994507409951]
Solution 244	0.9942263310 [0.993405114678-0.995047547265]
Solution 245	0.9912459579 [0.990375344152-0.992116571618]
Solution 246	0.9907670684 [0.989898239568-0.991635897262]
Solution 247	0.9877047400 [0.986754702268-0.988654777767]
Solution 248	0.9856773002 [0.984692441060-0.986662159257]
Solution 249	0.9954665221 [0.994661334566-0.996271709547]
Solution 250	0.9944808652 [0.993663517676-0.995298212734]
Solution 251	0.9952529893 [0.994443170618-0.996062808043]
Solution 252	0.9936765158 [0.992845621721-0.994507409951]
Solution 253	0.9942263310 [0.993405114678-0.995047547265]
Solution 254	0.9907670684 [0.989898239568-0.991635897262]
Solution 255	0.9912459579 [0.990375344152-0.992116571618]
Solution 256	0.9877047400 [0.986754702268-0.988654777767]
Solution 257	0.9856773002 [0.984692441060-0.986662159257]
Solution 258	0.9954665221 [0.994661334566-0.996271709547]
Solution 259	0.9944808652 [0.993663517676-0.995298212734]
Solution 260	0.9952529893 [0.994443170618-0.996062808043]
Solution 261	0.9936765158 [0.992845621721-0.994507409951]
Solution 262	0.9942263310 [0.993405114678-0.995047547265]
Solution 263	0.9907670684 [0.989898239568-0.991635897262]
Solution 264	0.9912459579 [0.990375344152-0.992116571618]
Solution 265	0.9877047400 [0.986754702268-0.988654777767]
Solution 266	0.9856773002 [0.984692441060-0.986662159257]
Solution 267	0.9931451383 [0.992160843603-0.994129432918]
Solution 268	0.9942119570 [0.993237140623-0.995186773439]
Solution 269	0.9921323316 [0.991126377186-0.993138286033]
Solution 270	0.9931585694 [0.992174236512-0.994142902330]
Solution 271	0.9930230514 [0.992036360622-0.994009742200]
Solution 272	0.9927942246 [0.991800858069-0.993787591053]
Solution 273	0.9940001856 [0.993021677822-0.994978693345]
Solution 274	0.9925008368 [0.991506299471-0.993495374032]
Solution 275	0.9919721909 [0.990964158111-0.992980223594]
Solution 276	0.9898357903 [0.988805285685-0.990866294815]
Solution 277	0.9929791500 [0.991992247422-0.993966052595]
Solution 278	0.9895266150 [0.988503072468-0.990550157449]
Solution 279	0.9900426921 [0.989017528711-0.991067855557]
Solution 280	0.9877704647 [0.986701100151-0.988839829253]
Solution 281	0.9856818320 [0.984581128164-0.986782535895]
Solution 282	0.9899993544 [0.988973156389-0.991025552392]
Solution 283	0.9864583750 [0.985365570449-0.987551179637]
Solution 284	0.9844279788 [0.983306530030-0.985549427564]
Solution 285	0.9954582253 [0.994653176114-0.996263274572]
Solution 286	0.9953772580 [0.994570805036-0.996183710975]
Solution 287	0.9943109778 [0.993491506893-0.995130448680]
Solution 288	0.9938101721 [0.992985110497-0.994635233779]
Solution 289	0.9909876714 [0.990125815009-0.991849527715]
Solution 290	0.9879935721 [0.987049313753-0.988937830456]
Solution 291	0.9953778807 [0.994571453597-0.996184307737]
Solution 292	0.9943151130 [0.993495733571-0.995134492353]
Solution 293	0.9938196050 [0.992994830618-0.994644379297]
Solution 294	0.9909998572 [0.990138242331-0.991861472068]
Solution 295	0.9881272862 [0.987185070311-0.989069501995]
Solution 296	0.9954582253 [0.994653176114-0.996263274572]
Solution 297	0.9954582253 [0.994653176114-0.996263274572]
Solution 298	0.9953772580 [0.994570805036-0.996183710975]
Solution 299	0.9943109778 [0.993491506893-0.995130448680]
Solution 300	0.9938101721 [0.992985110497-0.994635233779]
Solution 301	0.9909876714 [0.990125815009-0.991849527715]
Solution 302	0.9879935721 [0.987049313753-0.988937830456]
Solution 303	0.9953778807 [0.994571453597-0.996184307737]
Solution 304	0.9943151130 [0.993495733571-0.995134492353]
Solution 305	0.9938196050 [0.992994830618-0.994644379297]
Solution 306	0.9909998572 [0.990138242331-0.991861472068]
Solution 307	0.9881272862 [0.987185070311-0.989069501995]
Solution 308	0.9953772580 [0.994570805036-0.996183710975]
Solution 309	0.9943109778 [0.993491506893-0.995130448680]
Solution 310	0.9938101721 [0.992985110497-0.994635233779]
Solution 311	0.9909876714 [0.990125815009-0.991849527715]
Solution 312	0.9879935721 [0.987049313753-0.988937830456]
Solution 313	0.9953778807 [0.994571453597-0.996184307737]
Solution 314	0.9943151130 [0.993495733571-0.995134492353]
Solution 315	0.9938196050 [0.992994830618-0.994644379297]
Solution 316	0.9909998572 [0.990138242331-0.991861472068]
Solution 317	0.9881272862 [0.987185070311-0.989069501995]
Solution 318	0.9931690153 [0.992184859966-0.994153170676]
Solution 319	0.9941747179 [0.993199870775-0.995149564936]
Solution 320	0.9931089649 [0.992124133337-0.994093796444]
