Category	Specificity	Sensitivity	Accuracy	Precision	F1
Framework (3)<br> High sensitivity	0.9704490727049977	0.9864253393665159	0.9733236328361828	0.8798626019750966	0.9301016702977487
Framework (4)<br> High specificity	0.9977398504499176	0.9260614229325118	0.9848429732023766	0.9889985605593256	0.9564957987371352
SpliceAI (0.2)<br> High sensitivity	0.9729415740779858	0.9749687108886108	0.9733063105198427	0.8877103786816269	0.9292957100252351
SpliceAI (0.5)<br> Recommended	0.9956698069367581	0.9273129873880812	0.9833705763134646	0.9791603131035885	0.9525316455696201
SpliceAI (0.8)<br> High precision	0.998753749313506	0.8073553480311928	0.9643160283393095	0.9930136175251628	0.8906117247238743
