sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"RP4-734P14.4","Unmatched","","","",""
"AC074389.6","Unmatched","","","",""
"AC017104.2","Unmatched","","","",""
"AL603965.1","Unmatched","","","",""
"CTB-78H18.1","Unmatched","","","",""
"CTD-2116N17.1","Unmatched","","","",""
"AC132872.2","Unmatched","","","",""
"RP11-552F3.12","Unmatched","","","",""
"AC015987.2","Unmatched","","","",""
"RP11-87C12.2","Unmatched","","","",""
"RP11-302B13.5","Unmatched","","","",""
"RP11-10A14.4","Unmatched","","","",""
"RP11-295K3.1","Unmatched","","","",""
"RP11-826N14.2","Unmatched","","","",""
"RP13-279N23.2","Unmatched","","","",""
"RP11-219A15.1","Unmatched","","","",""
"AP000867.1","Unmatched","","","",""
"RP11-1070N10.3","Unmatched","","","",""
"RP11-113D6.10","Unmatched","","","",""
"RP11-123K3.4","Unmatched","","","",""
"AC112721.1","Unmatched","","","",""
"RP11-12J10.3","Unmatched","","","",""
"AL591684.1","Unmatched","","","",""
"CTD-2545M3.6","Unmatched","","","",""
"RP11-345J4.5","Unmatched","","","",""
"RP11-212D19.4","Unmatched","","","",""
"RP11-347C12.3","Unmatched","","","",""
"RP11-1407O15.2","Unmatched","","","",""
"RP11-834C11.12","Unmatched","","","",""
"RP11-41O4.1","Unmatched","","","",""
"RP11-598P20.5","Unmatched","","","",""
"CTD-2587H24.4","Unmatched","","","",""
"RP11-664I21.6","Unmatched","","","",""
"AL162407.1","Unmatched","","","",""
"RP11-599B13.6","Unmatched","","","",""
"AC016251.1","Unmatched","","","",""
"RP11-144F15.1","Unmatched","","","",""
"AC007405.2","Unmatched","","","",""
"SF3B14","Unmatched","","","",""
"AL117190.3","Unmatched","","","",""
"RP11-468E2.4","Unmatched","","","",""
"AC007952.5","Unmatched","","","",""
"AC061992.1","Unmatched","","","",""
"CTB-54O9.9","Unmatched","","","",""
"RP11-432B6.3","Unmatched","","","",""
"RP11-131H24.4","Unmatched","","","",""
"FLJ20373","Unmatched","","","",""
"RP11-468E2.2","Unmatched","","","",""
"CTD-2535L24.2","Unmatched","","","",""
"RP3-468K18.5","Unmatched","","","",""
"RP11-295D22.1","Unmatched","","","",""
"AC006132.1","Unmatched","","","",""
"RP11-351M8.1","Unmatched","","","",""
"RP11-268J15.5","Unmatched","","","",""
"DKFZP779L1853","Unmatched","","","",""
"AL132989.1","Unmatched","","","",""
"FAM21D","Unmatched","","","",""
"AL589739.1","Unmatched","","","",""
"AC092964.2","Unmatched","","","",""
"AC138655.1","Unmatched","","","",""
"CTC-349C3.1","Unmatched","","","",""
"AC012313.1","Unmatched","","","",""
"RP11-404P21.8","Unmatched","","","",""
"RP11-322L20.1","Unmatched","","","",""
"AL353583.1","Unmatched","","","",""
"RP11-57H12.6","Unmatched","","","",""
"AC112715.2","Unmatched","","","",""
"PRED58","Unmatched","","","",""
"CTB-50L17.14","Unmatched","","","",""
"AL589765.1","Unmatched","","","",""
"RP11-210M15.2","Unmatched","","","",""
"CTD-2049J23.3","Unmatched","","","",""
"RP11-474G23.1","Unmatched","","","",""
"RP11-51F16.8","Unmatched","","","",""
"AL354898.1","Unmatched","","","",""
"CTC-786C10.1","Unmatched","","","",""
"AC079612.1","Unmatched","","","",""
"RP11-113D6.6","Unmatched","","","",""
"AC011298.1","Unmatched","","","",""
"AP003062.1","Unmatched","","","",""
"RP11-849H4.2","Unmatched","","","",""
"AL009178.1","Unmatched","","","",""
"RP11-1035H13.3","Unmatched","","","",""
"RP4-583P15.15","Unmatched","","","",""
"AL355390.1","Unmatched","","","",""
"RP11-248J23.6","Unmatched","","","",""
"AC136297.1","Unmatched","","","",""
"AP000708.1","Unmatched","","","",""
"RP4-576H24.4","Unmatched","","","",""
"AC102948.2","Unmatched","","","",""
"AC016586.1","Unmatched","","","",""
"AL583828.1","Unmatched","","","",""
"AC104667.3","Unmatched","","","",""
"RP5-1021I20.4","Unmatched","","","",""
"RP11-93B14.6","Unmatched","","","",""
"KM-PA-2","Unmatched","","","",""
"RP11-293M10.1","Unmatched","","","",""
"RP11-422N16.3","Unmatched","","","",""
"AL136115.1","Unmatched","","","",""
"RP11-507M3.1","Unmatched","","","",""
"AC011239.1","Unmatched","","","",""
"RP11-497E19.2","Unmatched","","","",""
