sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"AL591479.1","Unmatched","","","",""
"AL121901.1","Unmatched","","","",""
"AC005008.2","Unmatched","","","",""
"XXbac-BPG32J3.20","Unmatched","","","",""
"RP11-683L23.1","Unmatched","","","",""
"RP11-20I23.1","Unmatched","","","",""
"RP11-342M21.2","Unmatched","","","",""
"CTB-60B18.6","Unmatched","","","",""
"AL590822.2","Unmatched","","","",""
"CTD-2207O23.10","Unmatched","","","",""
"RP11-133K1.2","Unmatched","","","",""
"RP11-182J1.16","Unmatched","","","",""
"RP11-322E11.6","Unmatched","","","",""
"AC011366.3","Unmatched","","","",""
"PCDP1","Alias symbol","CFAP221","cilia and flagella associated protein 221","HGNC:33720","2q14.2"
"AC007773.3","Unmatched","","","",""
"AL118506.1","Unmatched","","","",""
"AP003774.4","Unmatched","","","",""
"RP11-297M9.1","Unmatched","","","",""
"RP1-139D8.6","Unmatched","","","",""
"AC022400.2","Unmatched","","","",""
"CTB-129P6.11","Unmatched","","","",""
"LL22NC03-63E9.3","Unmatched","","","",""
"CR769776.1","Unmatched","","","",""
"AL161915.1","Unmatched","","","",""
"RP11-147C23.1","Unmatched","","","",""
"RP11-426L16.10","Unmatched","","","",""
"RP11-644F5.10","Unmatched","","","",""
"AC007040.11","Unmatched","","","",""
"CH17-132F21.1","Unmatched","","","",""
"CTD-2528L19.4","Unmatched","","","",""
"AC007956.1","Unmatched","","","",""
"RP11-219B4.5","Unmatched","","","",""
"AC008394.1","Unmatched","","","",""
"RP11-455G16.1","Unmatched","","","",""
"CTD-2192J16.22","Unmatched","","","",""
"AC142381.1","Unmatched","","","",""
"AF165138.7","Unmatched","","","",""
"AL079342.1","Unmatched","","","",""
"AC002451.1","Unmatched","","","",""
"RP11-998D10.1","Unmatched","","","",""
"CTD-2370N5.3","Unmatched","","","",""
"CTD-2600O9.1","Unmatched","","","",""
"AQPEP","Alias symbol","LVRN","laeverin","HGNC:26904","5q23.1"
"CTD-2021H9.3","Unmatched","","","",""
"RP11-187E13.1","Unmatched","","","",""
"EIF2S3L","Unmatched","","","",""
"AL050303.1","Unmatched","","","",""
"CTD-2006C1.10","Unmatched","","","",""
"CTD-2278I10.6","Unmatched","","","",""
"AC004076.9","Unmatched","","","",""
"AC092675.3","Unmatched","","","",""
"RP11-1102P16.1","Unmatched","","","",""
"AC103801.2","Unmatched","","","",""
"RP11-324D17.1","Unmatched","","","",""
"AL357673.1","Unmatched","","","",""
"CTD-2368P22.1","Unmatched","","","",""
"RP11-863K10.7","Unmatched","","","",""
"AL353791.1","Unmatched","","","",""
"AC000003.2","Unmatched","","","",""
"RP11-407N17.3","Unmatched","","","",""
"AC124890.1","Unmatched","","","",""
"AC139426.2","Unmatched","","","",""
"CTB-167G5.5","Unmatched","","","",""
"AL513478.1","Unmatched","","","",""
"AC023469.1","Unmatched","","","",""
"MGC10955","Unmatched","","","",""
"BX088651.1","Unmatched","","","",""
"AL031663.2","Unmatched","","","",""
"AC021860.1","Unmatched","","","",""
"RP11-3B7.1","Unmatched","","","",""
"AL354808.2","Unmatched","","","",""
"AC004017.1","Unmatched","","","",""
"RP11-597K23.2","Unmatched","","","",""
"AP002884.2","Unmatched","","","",""
"RP11-552I14.1","Unmatched","","","",""
"AC069547.1","Unmatched","","","",""
"AC008948.1","Unmatched","","","",""
"C2orf15","Approved symbol","C2orf15","chromosome 2 open reading frame 15","HGNC:28436","2q11.2"
"AC022431.2","Unmatched","","","",""
"RP11-80A15.1","Unmatched","","","",""
"CTD-2215E18.1","Unmatched","","","",""
"RP11-817J15.3","Unmatched","","","",""
"FKSG52","Unmatched","","","",""
"AC107021.1","Unmatched","","","",""
"AL445989.1","Unmatched","","","",""
"RP11-467N20.5","Unmatched","","","",""
"AC004899.1","Unmatched","","","",""
"FLJ30594","Alias symbol","SILC1","sciatic injury induced lincRNA upregulator of SOX11","HGNC:26403","2p25.2"
"AC005477.1","Unmatched","","","",""
"AL590867.1","Unmatched","","","",""
"AP000974.1","Unmatched","","","",""
"AC011500.1","Unmatched","","","",""
"BX255923.1","Unmatched","","","",""
"AP000350.4","Unmatched","","","",""
"RP11-386G21.2","Unmatched","","","",""
"RP11-514P8.7","Unmatched","","","",""
"AC104057.1","Unmatched","","","",""
"RP11-219B4.6","Unmatched","","","",""
"AL136218.1","Unmatched","","","",""
"RP11-553A10.1","Unmatched","","","",""
"NKG2-E","Alias symbol","KLRC3","killer cell lectin like receptor C3","HGNC:6376","12p13.2"
"CTD-2162K18.4","Unmatched","","","",""
"AL163636.6","Unmatched","","","",""
"CTB-186H2.3","Unmatched","","","",""
"AL807752.1","Unmatched","","","",""
"hsa-mir-150","Alias symbol","MIR150","microRNA 150","HGNC:31537","19q13.33"
"AC016745.1","Unmatched","","","",""
"AC110771.1","Unmatched","","","",""
"CTC-236F12.4","Unmatched","","","",""
"AL162389.1","Unmatched","","","",""
"FKSG62","Unmatched","","","",""
"AP000350.10","Unmatched","","","",""
"LST3","Alias symbol","SLCO1B7","solute carrier organic anion transporter family member 1B7 (putative)","HGNC:32934","12p12.2"
"AC012215.1","Unmatched","","","",""
"AC069547.2","Unmatched","","","",""
"AE000662.92","Unmatched","","","",""
"CTD-3105H18.18","Unmatched","","","",""
"RP11-664D7.4","Unmatched","","","",""
"AC011755.1","Unmatched","","","",""
"RP11-362K2.2","Unmatched","","","",""
"AC009060.1","Unmatched","","","",""
"AC025278.1","Unmatched","","","",""
"RP11-812E19.9","Unmatched","","","",""
"RP11-386G21.1","Unmatched","","","",""
"RP11-723G8.2","Unmatched","","","",""
"AC011294.3","Unmatched","","","",""
"AC090186.1","Unmatched","","","",""
"AL645730.2","Unmatched","","","",""
"AC004817.1","Unmatched","","","",""
"AC073343.1","Unmatched","","","",""
"AC114783.1","Unmatched","","","",""
"AC016885.1","Unmatched","","","",""
"RP11-763F8.1","Unmatched","","","",""
"RP11-160N1.10","Unmatched","","","",""
"RP11-408E5.4","Unmatched","","","",""
"AC093677.1","Unmatched","","","",""
"AC005609.1","Unmatched","","","",""
"CTD-2144E22.5","Unmatched","","","",""
"RP11-272B17.2","Unmatched","","","",""
